dataset,cell_count,organ_iri,organ,consortium,tissue_provider
https://entity.api.hubmapconsortium.org/entities/67df87f036be7b428ab9d5e5c5a92e87,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/541ba483b19c09536c62d9d2e8b98427,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/49d26339c81d57ad896406ec083b65c9,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/073ef663cee7c4158bd2b978e87dd80d,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/0426c0d863859eeaedd3fd25d210801e,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/779ec7065c64e808da9db57e5f03cdd6,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/f7de1ec1c3dd6611356ce5dcb96a2ef9,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/4c554f66f0591ac4c6754eae97f101ae,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/33b57f0c698f87808bf8656af4e336d1,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/2aa9170ed6c7cf62c7fc2a6c1be011d0,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/a0e6bbfca288734bc48e04eaf7e52127,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/c1b6a0a5b0e5fee5307ea20f7da00b42,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/11b3087c2796bc0694c0a8ff6bd189cd,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/962958f8dab23bd26c93ceb062abb4ef,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/01b351cf17e45d35413f13155735a239,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/de1f726e33c439d7683d37401beaea86,,http://purl.org/sig/ont/fma/fma24978,left knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/1c531fb835018a793723f182cd997c14,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/af5493ad664c1b6c1e8c40582d66e809,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/f8669adc5e08cbfd68916329150418e6,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/3a7c14f61949ca01a0a19dfc26579542,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/ba5413228511cde99278e44f05be21d1,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/4ee86a2c07e8b56d99bd5a795bafbc0d,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/5d216b385701fb03d5c2b64421c63da5,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/34a6b547c0fb40ddaa064efc33e9c74b,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/bc64a88cfa2c1e8d6b5f114aa4b6e342,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/d77a1f0fb480ee3364ba65a5ad94a8b8,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/459f53fff6a70d196f492fb9e941a6c9,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/07219375c3496c896fa04a6d20157b7a,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,CHOP
https://entity.api.hubmapconsortium.org/entities/c0b5fe827b4aac2941d9d84f9a952051,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/5fc97f5cb77f786b629692f9f9281075,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/edb522fdba6c2e340204df046857757e,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/edc6e4c83582d9288f809db4b3cd436b,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/7754aa5ebde628b5e92705e33e74a4ef,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/921b274e8b3ff5ed40aa196adf9fe844,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/5318d00bccc1b48f96185e36546ea0b1,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/6dd798f989cff7b0bbefa30f83fa12f0,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/740ca3fb637ca2a80bafd05eb8d3e72a,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/f2337adde76b4b57440116afdce5202a,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/1c8bfe669dcdf2c4564f3a4a1403cd92,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/f2fd5839eb68545df62be05f27df8ed7,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/92ae57bd395626ca5aab33f0d38e5b64,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/fe3962d3126e7079cc6b22dbbd7129f3,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/2817f3c327f632e70f8c7581265a4aba,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/f47349f1e0fea69263a8d68c7dac65c5,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/c45049b3115ed7c8d39f7ec3b0a06020,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/e4d23bbb494d5e4928ad16649d5753b8,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/365d954aadc27b928c1e92a838b952f8,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/e2cecf936604e667aa8df81dccec1bc7,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/ade8d4ca1fd95afbafdc78a2461bab9c,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://entity.api.hubmapconsortium.org/entities/035ba4d304de02aff6179dbc8adf8dc6,,http://purl.org/sig/ont/fma/fma24977,right knee,HuBMAP,TMC-UConn
https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP27$mammary%20gland,18539,http://purl.org/sig/ont/fma/fma57991,set of lactiferous glands in left breast,HCA,Tabula Sapiens
https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP4$mammary%20gland,12397,http://purl.org/sig/ont/fma/fma57991,set of lactiferous glands in left breast,HCA,Tabula Sapiens
https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC,5990,http://purl.org/sig/ont/fma/fma57987,set of lactiferous glands in right breast,GTEx,GTEx
https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C,2324,http://purl.org/sig/ont/fma/fma57987,set of lactiferous glands in right breast,GTEx,GTEx
https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D,1456,http://purl.org/sig/ont/fma/fma57987,set of lactiferous glands in right breast,GTEx,GTEx
https://gtexportal.org/home/tissue/Breast#FDonors_TissueBlock1_TissueBlock1_Dataset1,,http://purl.org/sig/ont/fma/fma57987,set of lactiferous glands in right breast,GTEx,GTEx
https://gtexportal.org/home/tissue/Artery_Coronary#MDonors_TissueBlock1_TissueBlock1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0004537,blood vasculature,GTEx,GTEx
https://gtexportal.org/home/tissue/Artery_Coronary#FDonors_TissueBlock1_TissueBlock1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0004537,blood vasculature,GTEx,GTEx
