dataset,cell_count,organ_iri,organ,consortium,tissue_provider
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#H200.1030_Donor_TissueBlock1_TissueSection1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,Allen Institute for Brain Science,Allen Institute
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#H18.30.002_Donor_TissueBlock1_TissueSection1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,Allen Institute for Brain Science,Allen Institute
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#H200.1025_Donor_TissueBlock1_TissueSection1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,Allen Institute for Brain Science,Allen Institute
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#Donor4_TissueBlock2_TissueSection1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,Allen Institute for Brain Science,Allen Institute
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#Donor2_TissueBlock2_TissueSection1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,Allen Institute for Brain Science,Allen Institute
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#H18.30.001_Donor_TissueBlock1_TissueSection1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,Allen Institute for Brain Science,Allen Institute
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#H200.1023_Donor_TissueBlock1_TissueSection1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,Allen Institute for Brain Science,Allen Institute
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#Donor3_TissueBlock2_TissueSection1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,Allen Institute for Brain Science,Allen Institute
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#Donor1_TissueBlock2_TissueSection1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,Allen Institute for Brain Science,Allen Institute
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee#Donor1_TissueBlock3_TissueSection1_Dataset1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,Allen Institute for Brain Science,Allen Institute
https://entity.api.sennetconsortium.org/entities/2783b3079bed04b8010192812e86d888,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/e0a996c5f011aa18c6168edd953bbc12,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/7ed8551ac9038dc7e296a720c440e541,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/98ede661ba847405c2eec6c44a6d7446,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/045e4a8153f5c6b568b358750f95f61a,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/f75224bb824b09c67b36b27892379c57,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/572e3faa8abeb5e06a43fcf0e284dfe4,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/86c5d467f24c584617d799e434baa0bd,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/3f39602fb2da2c4314422e07e52d8bf8,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/a91490672a9c1e60e201087916da864a,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/2bae3d17cd0598eb93aa1ab38c8bbfca,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/b51e634c8452760640c8f5e4a9b4b698,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/1fb7296dda5f38c35d3d48b206c001e5,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/82b06ad7036087960e6bc4868607ce1f,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/856962e25c628477cb3a5df17abed46d,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/a5fb48e3e04921d6490f5c3cfdcf3dc1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/b871b6a960d3c83220a29ef0c87c89d2,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/8350626bb9249839e37f76ad6c255653,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/80043eb71fcd624c83bea40a65f64e8a,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/e824bc1cd476520d5e170689f3da27ff,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/ed1883294e7709b519d85aa7a73a9b3a,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/237bfa557254f31c5b12bd3fd8549732,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/b56defe02136f55b93868d47cff68153,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/dd177dc7f8f628c644d45cdef92267f2,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/eaf602a9599cc7b57b551e440cbc587d,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/46aa5d3e8253920da975187ee6f4f654,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/8d625f2b6632c403970d4cfb60309b77,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/d22c64850d93b3b7107ec4a76c604bb7,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/0418dc12d3ca1033f881f80e1822bb22,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/ae82468ede2a0a681b31df0d5f09f3ef,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/a815bbc56d02834472646f57a61574c8,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/8841790ce6d8a624f2a7f631653ac617,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/3f6d3dbb4ebea69033b4b39ef9dbc45e,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/5c4e44dad1adf22d19ecb4f9466d9d18,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/f950de90e007f76c1705e57d4cd873a7,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/958e98da04e88c4229e3c7ec055c0db0,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/9a1b2c4f209855fe9e74562a4dbf283a,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/01ff2770ab3c0fc84b4d505090be82b3,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/a2162ab09145627c48b19a334e885546,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/d2a180409814feda8789dc7a646c6ed7,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/04cf057e958f07c2d56ab46d21e1f305,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/31ba9815f3e7692e7594a13741565e1a,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/6714e25cd57c1dc28c8f7267e5beea9c,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/b426a9727a0675013f0f850c7d82b567,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/2498463bb61809c9ea574738ccf443c4,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/63d609731b3df0368f693fbcbe5a64da,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/17145818c10ab9d60ed3f8c090f11811,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/e292b3e0a5fbab3dd7780ce90002e052,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/ee3a24b25d9ee67cdc5da1328934287e,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/f4de1ed73cb55a32cabdcb581888e673,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/a937758578f34d706b09e05fb6cd7df9,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/f7be0c383672fb6e0f62ef18c1f50bef,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/3263ccaaed7f31601b272cc7fa3b8b41,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/01656c8c339df8c7f78b0fca6e7993d3,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/d87b798a03c0692e8c593dc01b219995,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/8e565aa67c685b07b47fae577fa6cb21,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/44ad2ebf943e8f931787faeaf23dfef2,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/ee65cc2de2d27df8992619dc4f76c257,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/ab60a50e5593fca05a1f22922d89f758,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/216609741ea01a00d9f5acef943e91fb,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/70a946c2a1f4850b89c7efa5beb2c1d1,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/e2364648ae770f45f8e6014d5b145206,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/9b812f78201a0de6a20f32c74c250503,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/0436ddca9bbbb1e98da7db430784f7ef,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/664a7634453916e107cf31564eb3696e,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/0466ac9ebd1d3a1b16cb881d0c57fb84,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/b4baa7608a3460be77d9c15ce3907cab,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/dc276994acab730a3c6e0f71daed1570,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/849c6ac069b66be57f0b58eeee8ecfd0,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/d1e54f9467d685353e0a605178fe5e3c,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/ece53a1a301bd97272bb01030f2deed9,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/16e4e93471943fe829efe595ce7e177c,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/681ec8142ca00358e14baa4044e81a43,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/dbf90fe4018005da8c9ad872e391d97c,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/9373f04aa0bce56460b8f2c181a38655,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/c6136f1adc409bf3b71d0bc0148cdc05,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/1ed704c50f61d0c1c4a6c2cfaaff7600,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/8c64ef6d949c0e629860f5b820162507,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/1582aa8fc5a987265e93aa575627ad24,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/f5ef9feecb09ec9f44d46f685e5a9d3f,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/823d80e5dd7da897f75d5b70f987390b,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/ba0a69549fc61c0a7b99a8d2745abce6,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/0e38b01533af5428ec451b86b20208ad,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/8a425a3f50b0bf09aad9edcbad866567,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/034892aa1504a1de140184044868ae2d,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/dde215faf4df986413e1bc15772a60dd,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/991a512ad2f5fba30f9d883a107a448a,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/ac55ca2ecd8827311d77f954abebb569,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
https://entity.api.sennetconsortium.org/entities/02b9cf769e6c58d73a9f942468f79412,,http://purl.obolibrary.org/obo/UBERON_0000955,brain,SenNet,TMC - Columbia University
